job_id,job_title,job_category,posting_date,seniority,country,salary,skills_list
6fb03ee9-26e1-4941-8c81-311dd10975e3,Software Development,Mixed/Control,2025-10-20,Mid,US,128881,"CI/CD, Git, Java, Python, REST APIs, SQL"
3c190e62-fc31-41ca-a446-235a7656cd1e,Software Development,Mixed/Control,2025-07-30,Senior,EU,105303,"Agile, CI/CD, Git, Java, JavaScript, Python, REST APIs, SQL"
9fd8d8b7-0b24-41e2-899e-594eb53a12ef,Operations and Support,Automation-Prone,2025-03-13,Mid,EU,46912,"Monitoring, SLA management, ServiceNow, Troubleshooting"
2ca60048-f81b-4753-ad97-7dff8067319c,Data Analyst,Augmentation-Prone,2025-01-26,Lead,US,156369,"A/B testing, Data visualization, Excel, Power BI, Python, SQL, Tableau"
27207d66-93bc-41c9-b95f-85d7252eed9f,Operations and Support,Automation-Prone,2025-03-26,Lead,US,107418,"Monitoring, SLA management, ServiceNow"
ed72cf34-23bd-4b8c-93f5-f8f5ee0bcc1f,IT Systems & Solutions,Mixed/Control,2025-03-21,Lead,EU,112445,"Active Directory, Cloud, Networking, Security, Windows Server"
da57cce4-fd63-4e60-8b89-46911b4003b0,Data Analyst,Augmentation-Prone,2025-09-15,Junior,EU,53970,"A/B testing, Data visualization, Pandas, Python, SQL, Statistics, Tableau"
3f17d4be-efdd-41e3-8f82-9347b6fcb20d,Operations and Support,Automation-Prone,2025-10-19,Lead,US,103067,"CRM, Customer support, Documentation, Incident management, ServiceNow, Ticketing systems, Troubleshooting"
7acf0736-76ed-496c-932c-2f654ed84dbe,IT Systems & Solutions,Mixed/Control,2025-05-03,Mid,EU,63703,"AWS, Active Directory, Cloud, System administration, VMware, Windows Server"
322f509b-2c4c-4d5f-981e-1f279356c73d,Software Development,Mixed/Control,2025-10-03,Junior,US,91984,"Agile, Docker, Java, JavaScript, Python, REST APIs, Unit testing"
8f586ccd-c42e-4765-aa1c-7ebfeebd9075,Operations and Support,Automation-Prone,2025-11-10,Lead,EU,91429,"CRM, Customer support, Documentation, Email support, Incident management, ServiceNow, Ticketing systems"
0b04acde-d282-49ab-99ea-2bbed35a9e88,Data Analyst,Augmentation-Prone,2025-05-20,Junior,US,79232,"A/B testing, Data visualization, Excel, Pandas, Power BI, Reporting, Statistics"
9bbc7f33-edbe-4d84-97e0-8e4bfb8f980a,IT Systems & Solutions,Mixed/Control,2025-11-21,Junior,US,83879,"Azure, Cloud, Linux, System administration, Windows Server"
9cd8aba4-eb37-40ef-b218-3fb5248d35e5,IT Systems & Solutions,Mixed/Control,2025-10-10,Mid,EU,78123,"AWS, Cloud, Linux, Security, System administration, Windows Server"
a06d2f7b-a499-4585-8ad0-b92f8f5a7dcf,Data Analyst,Augmentation-Prone,2025-08-09,Senior,US,119176,"Power BI, SQL, Tableau"
328ed59c-f56d-4db1-b612-d27abcf300f2,IT Systems & Solutions,Mixed/Control,2025-12-08,Mid,US,93368,"Active Directory, Azure, Linux, Security, System administration"
b9effb1a-729f-4783-be00-32317d217d81,Operations and Support,Automation-Prone,2025-04-02,Lead,US,119135,"Documentation, Incident management, SLA management, ServiceNow, Troubleshooting"
f30e140e-69b0-487b-b7dc-4c3570e3d8b2,Data Analyst,Augmentation-Prone,2025-08-29,Lead,US,142288,"A/B testing, Power BI, Statistics, Tableau"
c4513293-c9f3-4196-8767-19de52dec35b,Operations and Support,Automation-Prone,2025-12-04,Mid,US,66328,"CRM, Customer support, Documentation, Incident management, SLA management, ServiceNow"
7eaeedbb-c362-4227-ade6-486714fa5f4d,Software Development,Mixed/Control,2025-03-01,Senior,US,157118,"Agile, CI/CD, Docker, Python"
e8836689-de36-4081-80b2-b116e3aa42b5,Software Development,Mixed/Control,2025-08-12,Senior,EU,109864,"CI/CD, Git, Java, JavaScript, Python, REST APIs, SQL"
05515025-f893-4d21-8682-79eebdb6f93b,Operations and Support,Automation-Prone,2025-02-05,Senior,EU,65819,"CRM, Customer support, Documentation, Incident management, Monitoring, ServiceNow, Troubleshooting"
e5627aa8-dd08-4862-aae5-baed9794248c,Software Development,Mixed/Control,2025-04-09,Senior,US,167554,"CI/CD, Docker, Git, Java, JavaScript, Python, SQL, Unit testing"
ad99320c-7197-4276-b7a8-afc53d1e206b,Operations and Support,Automation-Prone,2025-08-27,Lead,EU,84476,"Documentation, Email support, Incident management, Monitoring, SLA management, Troubleshooting"
670bd0eb-31e9-4c25-a50b-577f072d0fd0,Data Analyst,Augmentation-Prone,2025-02-17,Senior,EU,99613,"Data visualization, Excel, Python, Tableau"
29a612f6-4504-47ea-84a7-960a5d9deefd,Data Analyst,Augmentation-Prone,2025-09-01,Junior,US,72386,"A/B testing, Data visualization, Excel, Python, Reporting, Statistics"
b328bdf8-be02-4403-89d8-8628006a2855,Operations and Support,Automation-Prone,2025-08-06,Junior,US,48585,"Email support, Monitoring, ServiceNow, Ticketing systems"
4cd8d507-9d6c-42ae-ad7a-468c6ce0315a,Operations and Support,Automation-Prone,2025-03-10,Junior,EU,35612,"CRM, Customer support, Documentation, Email support, Monitoring, SLA management, ServiceNow, Troubleshooting"
36c9e93e-b0cc-4215-846f-5d4f3477a177,Software Development,Mixed/Control,2025-08-19,Mid,EU,73493,"CI/CD, Docker, REST APIs, Unit testing"
c6843d61-ee74-4d7a-821b-2823517a5de5,Operations and Support,Automation-Prone,2025-02-09,Senior,EU,64362,"CRM, Documentation, Email support, ServiceNow"
db8ad937-106c-4dd9-bc0c-01be58cb0c22,Data Analyst,Augmentation-Prone,2025-04-29,Mid,US,102551,"A/B testing, Data visualization, Excel, Pandas, Power BI, Python, Reporting, Statistics"
da483bb2-89dd-4d6d-b462-571015330f1a,Data Analyst,Augmentation-Prone,2025-07-19,Mid,EU,74139,"A/B testing, Excel, Pandas, Power BI, Python, Reporting, SQL, Statistics"
e317ba44-f885-4c1a-9620-2581690d48dd,Operations and Support,Automation-Prone,2025-05-20,Lead,US,109281,"Documentation, Email support, Monitoring, SLA management, Ticketing systems, Troubleshooting"
010122c3-dee5-4473-8026-9d4a0288c34a,Operations and Support,Automation-Prone,2025-11-15,Lead,US,112502,"Incident management, SLA management, Ticketing systems"
d264497d-0594-4d13-9d66-49ba43a0f786,Software Development,Mixed/Control,2025-04-04,Mid,EU,66647,"CI/CD, Git, JavaScript, REST APIs, SQL"
efbe63a3-caa0-465e-a60e-7f49ffab310c,IT Systems & Solutions,Mixed/Control,2025-08-04,Lead,EU,116532,"AWS, Security, Windows Server"
643ba5ec-fe99-42ca-8b72-3a89c6d6b61a,IT Systems & Solutions,Mixed/Control,2025-11-30,Mid,US,91319,"Networking, System administration, Windows Server"
e1c8664f-9269-47a7-b090-b2f866ec0e42,Operations and Support,Automation-Prone,2025-08-31,Mid,US,63748,"Customer support, Incident management, Monitoring, SLA management, ServiceNow, Ticketing systems, Troubleshooting"
66550a78-b004-43d4-a456-c100b0450368,Operations and Support,Automation-Prone,2025-10-24,Senior,US,80841,"CRM, Documentation, Email support, Incident management, SLA management"
74f88981-be76-4ad7-a9bf-22a1700123ad,Data Analyst,Augmentation-Prone,2025-12-23,Mid,US,99882,"A/B testing, Excel, Pandas, Python, Reporting, SQL, Statistics, Tableau"
5bd0a863-fc3d-4d27-9310-c9ae9576d05a,IT Systems & Solutions,Mixed/Control,2025-09-08,Junior,EU,41729,"AWS, Active Directory, Cloud, Linux, Networking, VMware"
7cf4ff2a-0a8d-4cb2-9e01-9411090793d5,IT Systems & Solutions,Mixed/Control,2025-08-12,Lead,EU,117589,"Linux, Networking, Security, System administration, VMware"
eceafe3a-9c4b-4308-9283-661de682e400,Software Development,Mixed/Control,2025-01-15,Lead,EU,147394,"Agile, CI/CD, Git, JavaScript, SQL"
24cd057c-ee72-44b0-9b3f-301c6e53b4dc,IT Systems & Solutions,Mixed/Control,2025-10-12,Senior,EU,80332,"AWS, Azure, Cloud, Linux, Networking, Security, System administration"
5369b6aa-6784-41ac-90d5-6bc1e5947cba,Software Development,Mixed/Control,2025-01-09,Lead,EU,121098,"Agile, Git, JavaScript, REST APIs, SQL"
38642cc3-8769-42c8-b103-f2505ff5c30c,IT Systems & Solutions,Mixed/Control,2025-08-06,Lead,EU,121678,"AWS, Active Directory, Linux, Security, VMware"
825b3d1b-b6f0-4c3c-a715-973781604048,Data Analyst,Augmentation-Prone,2025-03-03,Mid,EU,72559,"A/B testing, Data visualization, Excel, Pandas, Power BI, Reporting, SQL, Tableau"
d446efcf-556c-4ed6-886e-ec661e7ee828,Operations and Support,Automation-Prone,2025-07-04,Senior,US,85879,"CRM, Customer support, Email support, Monitoring, Ticketing systems"
da3352f9-04ea-46a7-9bd3-b78adfcc9bbb,Data Analyst,Augmentation-Prone,2025-11-23,Senior,US,139667,"Excel, Power BI, Python, SQL, Statistics, Tableau"
307292e6-d7d6-45d5-9a1d-280c858555c4,IT Systems & Solutions,Mixed/Control,2025-05-10,Mid,US,118236,"Azure, Linux, Networking, System administration, VMware, Windows Server"
3a68e00e-ea2f-4f7e-bcca-7f883bee4511,Data Analyst,Augmentation-Prone,2025-10-16,Mid,US,99956,"Excel, Python, Statistics"
8dec6576-569b-4a6d-8414-96e73d4f117f,Operations and Support,Automation-Prone,2025-08-15,Lead,EU,79743,"Documentation, Email support, Incident management, Monitoring, SLA management, ServiceNow, Ticketing systems"
b3a20f5b-51ff-462c-ba66-0c118724a0ac,Operations and Support,Automation-Prone,2025-03-22,Senior,US,87859,"Customer support, Email support, Incident management, Ticketing systems"
1c2162f6-995a-453f-bca3-cc31562ff362,Software Development,Mixed/Control,2025-05-30,Lead,EU,117139,"Agile, CI/CD, Docker, Python"
b786ef6e-00ba-4655-900c-3d8b28a36791,Operations and Support,Automation-Prone,2025-08-06,Senior,US,83760,"Customer support, Incident management, Monitoring, SLA management, ServiceNow, Ticketing systems, Troubleshooting"
d5669db5-041d-49f2-a1ac-50268c3441c8,Operations and Support,Automation-Prone,2025-08-13,Senior,EU,59074,"CRM, Email support, Monitoring, SLA management, ServiceNow, Troubleshooting"
ada69a1e-e782-475b-ba24-d1b19df718bd,Software Development,Mixed/Control,2025-08-10,Junior,US,109069,"Agile, CI/CD, Docker, Java, Python"
b946fef4-687f-423e-8487-80031d3fe8b8,Data Analyst,Augmentation-Prone,2025-03-31,Senior,US,130417,"A/B testing, Data visualization, Excel, Pandas, Power BI, SQL, Tableau"
309b3e20-cd4f-43c8-b416-529fec779ea9,Software Development,Mixed/Control,2025-06-20,Senior,EU,100520,"CI/CD, Docker, Git, Java, JavaScript, REST APIs, SQL, Unit testing"
86da9179-25ac-4eb1-8338-b13e37602d64,Software Development,Mixed/Control,2025-02-15,Junior,EU,55306,"CI/CD, Docker, Java, REST APIs, SQL"
6a36f3bf-e859-4ffe-b613-057a463b5307,Data Analyst,Augmentation-Prone,2025-01-28,Lead,EU,101146,"A/B testing, Data visualization, Pandas, Power BI, Python, SQL, Statistics"
afce7e33-add0-41d0-ba66-0035a699ca55,Operations and Support,Automation-Prone,2025-12-24,Senior,EU,70883,"Customer support, Ticketing systems, Troubleshooting"
8d41aa2f-b836-4e62-b24e-6a82b5cb5589,IT Systems & Solutions,Mixed/Control,2025-02-17,Junior,EU,43681,"AWS, Active Directory, Linux"
d42b14a4-a42e-4ff6-95d2-60b885d072ab,Software Development,Mixed/Control,2025-08-01,Senior,EU,117352,"Agile, CI/CD, Docker, Git, Java, Unit testing"
1588f8a7-3c43-42e0-a2df-5e341b20f79e,Operations and Support,Automation-Prone,2025-05-22,Mid,US,73596,"Customer support, Documentation, Email support, ServiceNow, Ticketing systems"
557c43a3-065e-4e5d-b146-676841d21885,IT Systems & Solutions,Mixed/Control,2025-08-17,Lead,US,176741,"Active Directory, Azure, Cloud, Networking, Security"
ec597fc0-bfb5-491b-9435-27132f55ea14,Operations and Support,Automation-Prone,2025-04-30,Mid,EU,54024,"Documentation, Email support, Monitoring, SLA management, Ticketing systems, Troubleshooting"
88b02271-66ae-469b-979a-e4a46d0489a8,Operations and Support,Automation-Prone,2025-03-06,Lead,US,111459,"Documentation, Incident management, Monitoring, SLA management, ServiceNow, Ticketing systems, Troubleshooting"
3441a1eb-6fef-40e6-94cb-d48cff7042c9,Operations and Support,Automation-Prone,2025-02-08,Lead,US,110384,"Customer support, Documentation, Email support, Incident management, SLA management"
d98f6b95-9c31-4ddc-a877-44fe0ed11eea,Software Development,Mixed/Control,2025-10-05,Senior,EU,91176,"Agile, Docker, Git, Java, Python, REST APIs, Unit testing"
ca7445bd-526a-4bf6-9b42-4c07b8cfb927,Data Analyst,Augmentation-Prone,2025-03-27,Junior,EU,51370,"Data visualization, Power BI, Reporting, SQL, Statistics"
37536e05-ed2f-4040-a920-ab80d2d0d569,IT Systems & Solutions,Mixed/Control,2025-08-09,Senior,EU,84770,"Active Directory, Azure, Linux, Security"
adfa33d3-ce4b-4b4c-9c74-482019286ee3,Operations and Support,Automation-Prone,2025-11-14,Junior,EU,39192,"CRM, Customer support, Monitoring, Troubleshooting"
b67c35a0-90dc-4fb6-8c40-6075ddbdb596,IT Systems & Solutions,Mixed/Control,2025-12-08,Lead,EU,100615,"AWS, Active Directory, Networking, Security, VMware, Windows Server"
24885795-d85f-480b-af44-60a3825d052d,IT Systems & Solutions,Mixed/Control,2025-08-22,Lead,EU,119799,"AWS, Azure, Linux, Security"
921e94c7-c9b5-4d9b-811f-e56f86e771bf,Software Development,Mixed/Control,2025-12-25,Senior,EU,99674,"Docker, Python, SQL"
4335e533-16b3-45d2-9a64-a0099d191199,Data Analyst,Augmentation-Prone,2025-04-28,Lead,EU,114892,"Excel, Power BI, Reporting, Statistics, Tableau"
67ab5f13-968a-44db-96ab-c2eb951ed304,Operations and Support,Automation-Prone,2025-06-08,Junior,US,57920,"CRM, Customer support, Documentation, Email support, Monitoring, Ticketing systems"
f4ea330f-9da7-4ade-b032-7b951fb7ea22,Software Development,Mixed/Control,2025-03-09,Mid,US,135772,"Docker, Git, Java, JavaScript, REST APIs, SQL, Unit testing"
3136dd64-f508-40db-ad19-1d48ba355ac8,IT Systems & Solutions,Mixed/Control,2025-08-28,Senior,US,122467,"Azure, Cloud, Networking, Windows Server"
6830b129-910b-47d5-856b-c6bbe2cdfa2d,Software Development,Mixed/Control,2025-10-02,Junior,EU,49049,"Agile, CI/CD, Docker, JavaScript, REST APIs, SQL"
b9d5898a-0aa1-496a-83b0-bdb5a8bb13e0,Data Analyst,Augmentation-Prone,2025-01-13,Mid,EU,73396,"Data visualization, Excel, Power BI, Python, Reporting"
